1     crate (3.432397408207343, {1: 1, 2: 83, 3: 1203, 4: 970, 5: 58, 6: 0, X: 0})
2     salet (3.432829373650108, {1: 0, 2: 79, 3: 1205, 4: 983, 5: 46, 6: 2, X: 0})
3     trace (3.434557235421166, {1: 1, 2: 75, 3: 1214, 4: 967, 5: 58, 6: 0, X: 0})
4     reast (3.436285097192225, {1: 0, 2: 69, 3: 1223, 4: 967, 5: 56, 6: 0, X: 0})
5     slate (3.437149028077754, {1: 1, 2: 68, 3: 1219, 4: 974, 5: 51, 6: 2, X: 0})
6     slant (3.438876889848812, {1: 1, 2: 71, 3: 1199, 4: 999, 5: 45, 6: 0, X: 0})
7     crane (3.439308855291577, {1: 1, 2: 73, 3: 1205, 4: 981, 5: 54, 6: 1, X: 0})
8     slane (3.439308855291577, {1: 0, 2: 65, 3: 1227, 4: 966, 5: 55, 6: 2, X: 0})
9     carte (3.439740820734341, {1: 0, 2: 83, 3: 1182, 4: 1000, 5: 49, 6: 1, X: 0})
10    carle (3.441468682505400, {1: 0, 2: 71, 3: 1197, 4: 1003, 5: 42, 6: 2, X: 0})
11    torse (3.447516198704104, {1: 0, 2: 63, 3: 1201, 4: 1003, 5: 48, 6: 0, X: 0})
12    carse (3.448380129589633, {1: 0, 2: 60, 3: 1198, 4: 1016, 5: 41, 6: 0, X: 0})
13    trice (3.448380129589633, {1: 1, 2: 69, 3: 1192, 4: 997, 5: 56, 6: 0, X: 0})
14    caret (3.449244060475162, {1: 0, 2: 75, 3: 1184, 4: 998, 5: 57, 6: 1, X: 0})
15    least (3.449676025917927, {1: 1, 2: 68, 3: 1193, 4: 997, 5: 54, 6: 2, X: 0})
16    roast (3.450107991360691, {1: 1, 2: 60, 3: 1203, 4: 998, 5: 53, 6: 0, X: 0})
17    trone (3.450971922246220, {1: 0, 2: 58, 3: 1206, 4: 1000, 5: 51, 6: 0, X: 0})
18    clast (3.451403887688985, {1: 0, 2: 69, 3: 1165, 4: 1049, 5: 31, 6: 1, X: 0})
19    lance (3.451403887688985, {1: 1, 2: 65, 3: 1189, 4: 1009, 5: 50, 6: 1, X: 0})
20    snare (3.451403887688985, {1: 1, 2: 58, 3: 1201, 4: 1006, 5: 48, 6: 1, X: 0})
21    rance (3.451835853131750, {1: 0, 2: 65, 3: 1184, 4: 1021, 5: 45, 6: 0, X: 0})
22    slart (3.451835853131750, {1: 0, 2: 64, 3: 1182, 4: 1028, 5: 41, 6: 0, X: 0})
23    roist (3.452267818574514, {1: 0, 2: 67, 3: 1190, 4: 1002, 5: 56, 6: 0, X: 0})
24    prate (3.453995680345572, {1: 0, 2: 76, 3: 1174, 4: 1005, 5: 58, 6: 2, X: 0})
25    stare (3.455291576673866, {1: 1, 2: 48, 3: 1227, 4: 975, 5: 63, 6: 1, X: 0})
26    train (3.455723542116631, {1: 1, 2: 74, 3: 1162, 4: 1025, 5: 53, 6: 0, X: 0})
27    earst (3.456155507559395, {1: 0, 2: 71, 3: 1179, 4: 1004, 5: 60, 6: 1, X: 0})
28    taser (3.456587473002160, {1: 0, 2: 64, 3: 1189, 4: 1003, 5: 59, 6: 0, X: 0})
29    crone (3.457019438444924, {1: 1, 2: 66, 3: 1175, 4: 1020, 5: 53, 6: 0, X: 0})
